"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 24-Apr-2024"
"KPITTECH","1,220.00","1,233.80","1,177.60","1,213.60","1,218.10","-","4.50","0.37","17,50,752","211.39","1,928.70","1,020.60","-10.66","-11.13"
"CHENNPETRO","628.95","664.10","611.80","627.15","629.00","-","1.85","0.29","52,48,704","335.45","1,275.00","433.10","0.07","-41.37"
"SAREGAMA","550.70","565.00","530.55","544.55","546.05","-","1.50","0.28","7,24,848","39.70","688.90","404.00","7.58","28.44"
"AIAENG","3,180.00","3,191.60","3,131.00","3,171.30","3,180.00","-","8.70","0.27","71,346","22.49","4,949.95","3,027.20","-4.97","-18.84"
"ULTRACEMCO","12,149.00","12,304.00","11,860.00","12,159.00","12,190.00","-","31.00","0.25","4,12,558","501.35","12,304.00","9,408.05","7.32","26.37"
"FLUOROCHEM","3,987.00","4,009.00","3,824.60","3,967.00","3,975.00","-","8.00","0.20","78,745","31.02","4,880.95","2,476.00","0.03","8.76"
"DELHIVERY","300.70","307.00","297.55","300.70","301.20","-","0.50","0.17","93,17,417","282.90","468.80","236.53","19.71","-33.61"
"ZENTEC","1,414.10","1,422.00","1,345.00","1,415.60","1,418.00","-","2.40","0.17","4,28,228","59.06","2,627.00","886.45","-1.85","38.36"
"HINDUNILVR","2,331.90","2,341.90","2,294.40","2,325.30","2,328.10","-","2.80","0.12","28,59,858","662.03","3,035.00","2,136.00","3.84","4.54"
"GRASIM","2,726.00","2,739.90","2,675.20","2,729.20","2,732.10","-","2.90","0.11","6,49,356","175.98","2,877.75","2,171.60","5.93","15.52"
"AFFLE","1,590.40","1,608.90","1,544.50","1,598.30","1,600.00","-","1.70","0.11","2,58,197","40.92","1,884.00","1,050.00","0.07","50.38"
"AKUMS","535.00","543.00","510.00","529.95","530.50","-","0.55","0.10","5,30,112","28.02","1,175.90","405.00","15.97","-"
"AEGISLOG","780.00","783.60","748.50","774.70","775.00","-","0.30","0.04","7,88,155","60.42","1,037.00","518.65","-1.37","-"
"IKS","1,475.10","1,484.10","1,429.90","1,470.40","1,471.00","-","0.60","0.04","1,12,436","16.37","2,189.00","1,236.80","-0.92","-"
"INDUSINDBK","822.00","829.00","807.35","819.75","820.00","-","0.25","0.03","1,17,24,192","962.02","1,550.00","606.00","25.49","-45.03"
"ICICIBANK","1,410.00","1,414.80","1,388.40","1,402.70","1,403.00","-","0.30","0.02","1,17,05,093","1,639.78","1,436.00","1,051.05","5.16","26.13"
"MANYAVAR","804.40","806.65","770.00","800.20","800.05","-","-0.15","-0.02","1,74,428","13.70","1,512.00","740.00","5.04","-14.28"
"RELIANCE","1,303.50","1,325.20","1,288.10","1,301.60","1,301.00","-","-0.60","-0.05","1,44,31,012","1,880.78","1,608.80","1,114.85","2.15","-55.46"
"SUNDARMFIN","5,300.00","5,375.00","5,218.30","5,277.60","5,275.00","-","-2.60","-0.05","70,501","37.27","5,535.85","3,732.90","9.19","10.27"
"INOXINDIA","1,017.00","1,023.00","985.00","1,017.60","1,016.60","-","-1.00","-0.10","1,54,347","15.49","1,506.90","884.20","-0.93","-26.19"
"UNOMINDA","895.55","909.00","870.15","895.55","894.00","-","-1.55","-0.17","4,53,544","40.21","1,255.00","711.00","-4.54","24.44"
"PATANJALI","1,972.00","1,978.00","1,898.10","1,968.60","1,965.00","-","-3.60","-0.18","7,21,638","140.67","2,011.00","1,169.95","10.10","29.31"
"AMBER","6,436.00","6,470.00","6,250.50","6,388.00","6,375.00","-","-13.00","-0.20","3,39,260","215.84","8,177.00","3,310.00","-6.75","68.52"
"NH","1,796.90","1,805.60","1,750.00","1,796.80","1,792.00","-","-4.80","-0.27","3,44,206","61.17","1,871.60","1,080.00","9.70","41.17"
"DALBHARAT","1,984.00","2,019.10","1,946.30","1,974.10","1,968.30","-","-5.80","-0.29","12,18,246","241.41","2,019.10","1,601.00","11.65","8.83"
"KPRMILL","1,034.85","1,039.60","997.55","1,034.50","1,030.85","-","-3.65","-0.35","2,32,886","23.80","1,194.00","743.00","8.13","18.07"
"WESTLIFE","719.05","725.95","700.90","723.40","720.90","-","-2.50","-0.35","57,794","4.13","957.00","640.70","3.92","-12.31"
"REDINGTON","245.00","250.50","237.56","245.28","244.40","-","-0.88","-0.36","62,84,851","153.74","263.89","158.61","3.04","9.77"
"PFIZER","4,288.00","4,365.00","4,177.00","4,275.90","4,259.90","-","-16.00","-0.37","28,172","11.95","6,451.15","3,701.00","5.95","2.55"
"MARICO","717.30","722.30","706.20","712.75","710.00","-","-2.75","-0.39","15,66,764","111.60","736.90","503.15","11.04","39.25"
"ZENSARTECH","706.00","715.75","682.75","703.45","700.50","-","-2.95","-0.42","16,49,060","115.30","984.95","530.25","-0.04","22.15"
"IEX","194.79","201.35","189.46","190.84","190.00","-","-0.84","-0.44","6,34,50,190","1,243.37","244.40","134.15","7.53","19.55"
"HDFCBANK","1,924.80","1,933.00","1,891.80","1,916.80","1,908.00","-","-8.80","-0.46","92,50,439","1,768.10","1,978.90","1,426.80","5.79","26.51"
"CHALET","824.20","829.00","801.90","824.20","820.00","-","-4.20","-0.51","1,41,183","11.57","1,052.45","634.05","-2.30","-7.67"
"POLYCAB","5,540.00","5,585.00","5,386.00","5,512.50","5,483.50","-","-29.00","-0.53","6,69,725","367.42","7,605.00","4,555.00","6.91","-2.24"
"HAVELLS","1,613.00","1,618.70","1,573.30","1,604.60","1,596.00","-","-8.60","-0.54","20,10,475","320.47","2,106.00","1,381.30","7.15","2.51"
"KIRLOSBROS","1,748.00","1,760.20","1,664.90","1,731.70","1,722.00","-","-9.70","-0.56","2,28,077","39.29","2,684.00","1,248.00","2.27","30.00"
"ITC","430.05","432.70","423.30","430.05","427.60","-","-2.45","-0.57","2,29,44,377","977.41","528.50","390.15","5.02","-2.23"
"KFINTECH","1,230.00","1,241.00","1,188.00","1,227.00","1,220.00","-","-7.00","-0.57","22,05,921","267.41","1,641.35","621.75","16.86","84.58"
"APARINDS","5,504.00","5,572.50","5,345.00","5,504.00","5,470.00","-","-34.00","-0.62","1,86,819","102.16","11,779.90","4,308.05","-4.32","-29.42"
"VGUARD","358.00","358.70","353.60","358.00","355.75","-","-2.25","-0.63","3,66,451","13.02","577.45","300.00","0.96","3.95"
"APLLTD","880.00","895.00","855.15","880.55","875.00","-","-5.55","-0.63","1,34,716","11.76","1,303.90","725.20","-3.25","-12.24"
"HCLTECH","1,590.00","1,618.00","1,568.10","1,586.70","1,576.40","-","-10.30","-0.65","38,00,415","601.96","2,012.20","1,235.00","-3.38","4.92"
"GODIGIT","299.60","305.40","295.00","300.00","298.05","-","-1.95","-0.65","3,59,347","10.76","407.40","264.60","2.49","-"
"ASAHIINDIA","708.60","714.90","687.80","701.85","697.05","-","-4.80","-0.68","3,89,978","27.46","833.95","540.00","15.00","17.80"
"GODREJCP","1,265.00","1,281.00","1,255.40","1,267.90","1,259.00","-","-8.90","-0.70","14,85,280","188.11","1,541.85","979.50","12.05","5.38"
"JKCEMENT","5,262.00","5,323.00","5,181.10","5,262.00","5,225.00","-","-37.00","-0.70","72,622","38.10","5,323.00","3,642.00","11.31","30.11"
"BRIGADE","1,042.55","1,047.90","999.05","1,037.40","1,030.00","-","-7.40","-0.71","2,29,473","23.42","1,453.10","852.00","4.82","-1.73"
"TITAN","3,382.60","3,419.50","3,316.00","3,382.60","3,357.00","-","-25.60","-0.76","7,04,325","236.99","3,867.00","2,925.00","10.06","-5.77"
"HDFCLIFE","711.45","733.50","692.65","708.40","702.70","-","-5.70","-0.80","37,14,671","263.67","761.20","511.40","5.41","18.47"
"SHREECEM","30,990.00","30,990.00","29,955.00","30,705.00","30,460.00","-","-245.00","-0.80","26,946","81.80","31,415.00","23,500.00","2.03","27.40"
"KEI","2,967.00","3,009.50","2,903.60","2,980.50","2,956.00","-","-24.50","-0.82","4,71,789","139.30","5,039.70","2,424.00","5.22","-24.27"
"METROPOLIS","1,765.20","1,788.00","1,726.00","1,764.90","1,750.00","-","-14.90","-0.84","1,15,727","20.28","2,318.30","1,315.00","11.02","-1.05"
"BRITANNIA","5,462.10","5,521.00","5,362.00","5,461.90","5,414.70","-","-47.20","-0.86","2,44,513","132.55","6,469.90","4,506.00","11.77","11.90"
"INDIACEM","292.50","292.70","283.90","291.05","288.50","-","-2.55","-0.88","12,05,774","34.68","385.00","172.55","7.45","27.01"
"HONAUT","34,600.00","34,770.00","33,405.00","34,720.00","34,400.00","-","-320.00","-0.92","5,910","20.13","59,994.00","31,025.00","2.26","-23.24"
"WIPRO","243.95","246.15","238.05","242.75","240.50","-","-2.25","-0.93","1,66,20,430","401.23","324.60","208.50","-9.91","-47.74"
"GICRE","426.50","444.70","421.65","426.05","422.05","-","-4.00","-0.94","40,89,576","178.04","525.50","316.50","1.87","29.25"
"NESTLEIND","2,426.90","2,435.20","2,387.30","2,433.20","2,410.00","-","-23.20","-0.95","11,28,284","271.60","2,778.00","2,110.00","7.58","-5.82"
"INDGN","575.95","576.55","556.70","572.10","566.60","-","-5.50","-0.96","2,37,144","13.41","736.30","470.10","5.04","-"
"BATAINDIA","1,225.00","1,232.30","1,207.00","1,224.80","1,212.90","-","-11.90","-0.97","90,065","10.95","1,633.00","1,140.30","-0.19","-10.27"
"RRKABEL","976.80","990.85","940.05","981.70","972.05","-","-9.65","-0.98","1,76,075","16.95","1,901.95","853.55","7.98","-41.37"
"LT","3,310.00","3,335.70","3,230.10","3,300.60","3,268.00","-","-32.60","-0.99","20,04,819","656.08","3,963.50","2,965.30","-5.01","-10.41"
"ALKYLAMINE","1,835.90","1,849.30","1,768.00","1,832.10","1,814.00","-","-18.10","-0.99","39,326","7.08","2,498.85","1,508.00","7.69","-12.75"
"ARE&M","998.00","1,005.00","969.20","1,000.10","989.70","-","-10.40","-1.04","6,52,240","64.15","1,775.95","832.30","-4.88","-10.56"
"ASTERDM","513.00","515.50","492.20","508.90","503.60","-","-5.30","-1.04","6,96,766","35.14","534.80","311.10","14.75","38.05"
"TATACONSUM","1,160.20","1,165.00","1,130.70","1,161.30","1,149.00","-","-12.30","-1.06","14,51,946","167.41","1,250.10","882.90","20.43","4.47"
"ABBOTINDIA","30,060.00","30,295.00","29,430.00","30,060.00","29,740.00","-","-320.00","-1.06","5,704","16.95","31,898.95","25,200.00","-2.90","15.70"
"TECHNOE","1,102.00","1,110.80","1,058.10","1,100.20","1,088.40","-","-11.80","-1.07","3,12,973","33.86","1,822.00","785.15","9.49","13.76"
"MANAPPURAM","229.00","229.49","222.51","228.83","226.34","-","-2.49","-1.09","71,06,833","160.27","247.60","138.35","-2.28","16.76"
"MRF","1,30,500.00","1,30,700.00","1,27,400.00","1,29,920.00","1,28,500.00","-","-1,420.00","-1.09","7,468","96.29","1,43,849.90","1,02,124.05","12.54","-0.75"
"UNITDSPR","1,565.50","1,574.00","1,530.30","1,560.80","1,543.30","-","-17.50","-1.12","5,17,429","80.07","1,700.00","1,136.30","13.65","-"
"ESCORTS","3,420.00","3,420.00","3,302.10","3,388.30","3,350.00","-","-38.30","-1.13","2,41,549","80.70","4,420.00","2,825.20","3.05","2.55"
"SUPREMEIND","3,545.00","3,618.50","3,400.00","3,511.70","3,471.70","-","-40.00","-1.14","2,39,037","83.68","6,460.00","3,095.00","1.82","-19.19"
"PAGEIND","45,020.00","45,480.00","43,900.00","45,015.00","44,500.00","-","-515.00","-1.14","18,414","82.17","49,849.95","33,870.00","5.55","25.43"
"PETRONET","313.65","315.35","305.10","312.65","309.00","-","-3.65","-1.17","32,82,909","101.63","384.20","253.40","4.51","2.25"
"KOTAKBANK","2,220.00","2,233.40","2,178.20","2,223.00","2,196.60","-","-26.40","-1.19","21,36,003","469.85","2,301.90","1,543.85","2.77","34.21"
"LTIM","4,525.10","4,599.80","4,446.30","4,533.80","4,480.00","-","-53.80","-1.19","5,89,535","266.55","6,767.95","3,802.00","-2.63","-2.94"
"SUNPHARMA","1,806.00","1,815.50","1,764.20","1,803.90","1,781.80","-","-22.10","-1.23","20,36,801","363.96","1,960.35","1,377.20","1.62","17.58"
"INDIANB","574.00","582.30","560.60","574.05","566.95","-","-7.10","-1.24","23,44,129","133.57","632.70","473.90","4.87","8.00"
"OIL","400.90","404.55","389.10","402.60","397.60","-","-5.00","-1.24","28,20,294","112.22","767.90","325.00","4.84","-34.80"
"M&M","2,901.40","2,939.60","2,831.10","2,901.40","2,865.00","-","-36.40","-1.25","22,99,310","660.53","3,270.95","2,001.00","4.45","36.60"
"CHOLAFIN","1,562.00","1,579.90","1,517.70","1,547.90","1,528.60","-","-19.30","-1.25","17,77,628","274.38","1,682.00","1,144.70","1.40","33.60"
"KANSAINER","265.00","267.30","257.41","265.90","262.50","-","-3.40","-1.28","2,39,604","6.26","320.50","218.20","10.14","-5.85"
"HINDALCO","632.40","634.30","612.95","628.35","620.15","-","-8.20","-1.31","39,25,971","244.32","772.65","546.45","-10.01","-3.82"
"GUJGASLTD","457.00","459.15","447.45","458.90","452.80","-","-6.10","-1.33","3,31,626","14.98","689.95","360.25","11.49","-16.94"
"SUNDRMFAST","938.50","941.25","910.70","938.50","926.05","-","-12.45","-1.33","61,294","5.68","1,505.95","831.15","-1.73","-11.91"
"BOSCHLTD","28,355.00","28,625.00","27,850.00","28,430.00","28,050.00","-","-380.00","-1.34","29,555","82.87","39,088.80","25,921.60","-0.27","-3.14"
"ONGC","249.00","250.68","244.40","249.37","246.00","-","-3.37","-1.35","1,56,16,265","384.93","345.00","205.00","2.76","-12.63"
"ICICIGI","1,886.70","1,908.70","1,832.20","1,880.30","1,855.00","-","-25.30","-1.35","9,34,598","173.63","2,301.90","1,480.50","4.61","8.63"
"JYOTHYLAB","383.50","384.90","370.30","383.50","378.30","-","-5.20","-1.36","4,14,902","15.59","595.85","300.10","15.89","-11.72"
"TVSMOTOR","2,791.00","2,809.70","2,695.00","2,773.90","2,735.70","-","-38.20","-1.38","7,11,996","194.86","2,958.00","1,918.50","12.71","36.50"
"CENTURYPLY","735.00","736.90","696.50","729.50","719.35","-","-10.15","-1.39","48,668","3.48","935.00","622.40","1.71","13.00"
"NATCOPHARM","905.05","924.45","872.85","902.85","889.90","-","-12.95","-1.43","27,52,003","246.14","1,639.00","726.80","8.23","-12.92"
"MUTHOOTFIN","2,150.00","2,166.80","2,076.00","2,150.50","2,093.70","-","-30.80","-1.45","7,04,651","148.55","2,435.40","1,509.70","-9.52","26.47"
"COROMANDEL","2,241.20","2,250.90","2,181.30","2,232.60","2,200.00","-","-32.60","-1.46","6,46,308","142.25","2,270.50","1,071.90","11.21","97.99"
"APTUS","332.95","336.20","323.40","332.85","328.00","-","-4.85","-1.46","6,45,116","21.12","401.65","267.95","9.14","-5.69"
"SKFINDIA","3,915.00","3,926.00","3,833.00","3,925.80","3,868.00","-","-57.80","-1.47","1,72,740","66.97","7,350.00","3,541.00","1.44","-16.97"
"AUBANK","681.00","681.00","662.40","681.05","671.00","-","-10.05","-1.48","40,93,320","274.86","755.40","478.35","17.67","10.89"
"DABUR","489.00","493.05","480.00","491.70","484.40","-","-7.30","-1.48","13,69,564","66.44","672.00","433.30","-4.77","-4.31"
"ANANDRATHI","1,775.00","1,783.10","1,710.00","1,762.40","1,736.30","-","-26.10","-1.48","84,305","14.64","2,323.00","1,594.00","-4.25","-55.45"
"GODFRYPHLP","8,225.00","8,239.00","7,841.00","8,225.00","8,101.00","-","-124.00","-1.51","91,614","73.29","8,480.00","3,119.85","30.26","132.50"
"MSUMI","56.31","56.41","54.67","56.25","55.40","-","-0.85","-1.51","89,44,530","49.43","80.00","46.08","3.81","-20.81"
"ENDURANCE","1,950.20","1,964.00","1,905.00","1,949.60","1,920.00","-","-29.60","-1.52","37,436","7.22","3,061.30","1,675.00","-3.85","-1.80"
"STARHEALTH","403.95","412.30","389.20","403.05","396.90","-","-6.15","-1.53","6,14,999","24.56","647.00","327.30","12.65","-29.45"
"MASTEK","2,210.00","2,225.00","2,093.80","2,196.20","2,162.00","-","-34.20","-1.56","2,43,177","52.12","3,375.00","1,887.00","-3.22","-20.58"
"ASIANPAINT","2,464.30","2,468.70","2,413.70","2,464.40","2,425.70","-","-38.70","-1.57","7,02,217","170.84","3,394.90","2,124.75","4.67","-15.02"
"FIVESTAR","805.00","823.45","788.25","807.85","795.00","-","-12.85","-1.59","4,69,335","37.60","943.75","595.00","13.64","13.91"
"EICHERMOT","5,662.50","5,668.00","5,517.50","5,650.50","5,560.00","-","-90.50","-1.60","4,57,510","255.33","5,906.50","4,253.85","3.19","20.81"
"HBLENGINE","518.45","540.00","496.10","517.55","509.25","-","-8.30","-1.60","25,67,447","131.48","739.65","405.00","11.17","-"
"PPLPHARMA","220.30","222.00","212.58","219.87","216.32","-","-3.55","-1.61","39,66,837","86.13","307.90","136.10","-1.26","52.34"
"JMFINANCIL","105.28","105.50","100.56","104.22","102.54","-","-1.68","-1.61","26,53,790","27.14","168.75","69.00","5.36","24.42"
"RADICO","2,465.00","2,465.00","2,350.20","2,469.90","2,429.80","-","-40.10","-1.62","1,86,189","44.91","2,637.70","1,429.85","3.86","40.80"
"NYKAA","193.01","194.80","188.12","194.37","191.18","-","-3.19","-1.64","52,96,829","101.34","229.80","149.75","11.41","7.56"
"BDL","1,435.00","1,439.90","1,373.00","1,429.60","1,406.00","-","-23.60","-1.65","18,44,748","258.98","1,794.70","890.00","6.55","-31.38"
"BHARTIARTL","1,846.70","1,861.70","1,806.00","1,845.60","1,815.00","-","-30.60","-1.66","45,70,083","833.02","1,904.30","1,219.05","4.52","35.74"
"GLAND","1,470.40","1,476.00","1,430.70","1,465.50","1,441.00","-","-24.50","-1.67","95,841","13.90","2,220.95","1,277.80","-10.79","-16.72"
"LODHA","1,355.50","1,390.00","1,293.00","1,320.20","1,298.00","-","-22.20","-1.68","47,99,027","639.27","1,649.95","1,035.15","9.00","7.57"
"NAUKRI","7,215.00","7,250.00","6,980.50","7,154.00","7,034.00","-","-120.00","-1.68","2,12,327","150.11","9,128.90","5,250.00","-0.08","19.17"
"EIHOTEL","391.65","391.65","369.00","391.65","385.00","-","-6.65","-1.70","9,12,304","34.63","500.00","305.00","5.91","-15.84"
"CIPLA","1,556.00","1,566.70","1,513.50","1,551.70","1,525.10","-","-26.60","-1.71","13,53,813","207.28","1,702.05","1,317.25","3.37","8.51"
"DEEPAKFERT","1,324.00","1,348.90","1,267.10","1,317.70","1,295.00","-","-22.70","-1.72","4,68,469","60.96","1,443.10","503.30","17.34","111.90"
"ICICIPRULI","607.00","618.60","585.00","602.35","591.80","-","-10.55","-1.75","18,61,383","111.55","796.80","515.45","1.20","5.61"
"MAHABANK","51.00","51.25","49.00","50.54","49.65","-","-0.89","-1.76","2,75,45,895","138.42","73.50","42.00","7.83","-23.36"
"COALINDIA","400.30","404.00","389.65","399.85","392.65","-","-7.20","-1.80","73,37,588","289.39","543.55","349.25","-0.42","-13.11"
"APLAPOLLO","1,630.00","1,646.90","1,580.00","1,629.90","1,600.00","-","-29.90","-1.83","5,74,766","92.56","1,728.95","1,272.70","7.93","4.32"
"BAJAJHLDNG","12,478.00","12,585.00","11,868.00","12,379.00","12,151.00","-","-228.00","-1.84","57,428","70.75","13,238.00","7,659.95","-3.18","48.75"
"BALKRISIND","2,578.10","2,606.50","2,481.80","2,578.00","2,529.50","-","-48.50","-1.88","4,78,982","120.88","3,375.00","2,152.05","-2.44","5.33"
"VEDL","422.85","425.80","409.50","420.25","412.30","-","-7.95","-1.89","1,12,05,671","465.86","526.95","363.00","-10.96","8.46"
"SIGNATURE","1,172.00","1,180.70","1,131.50","1,172.10","1,150.00","-","-22.10","-1.89","3,15,494","36.33","1,647.00","1,010.80","-0.38","-9.60"
"FSL","356.05","357.75","337.80","354.75","348.00","-","-6.75","-1.90","18,24,408","63.32","422.30","176.25","7.56","61.95"
"CHAMBLFERT","685.05","692.70","664.10","688.25","675.00","-","-13.25","-1.93","16,93,632","114.51","699.70","333.40","9.51","65.55"
"FINCABLES","884.95","889.30","849.00","883.00","866.00","-","-17.00","-1.93","2,83,803","24.51","1,700.00","780.00","-3.46","-14.58"
"M&MFIN","270.50","270.75","263.40","268.60","263.40","-","-5.20","-1.94","24,99,342","66.43","343.00","237.95","-7.87","2.66"
"SRF","3,051.80","3,073.00","2,943.00","3,038.50","2,979.00","-","-59.50","-1.96","3,33,048","99.60","3,085.00","2,089.10","2.56","12.47"
"GVT&D","1,500.00","1,518.80","1,437.10","1,509.60","1,480.00","-","-29.60","-1.96","2,94,701","43.75","2,243.00","957.35","-3.94","-"
"SBIN","815.00","819.00","787.00","813.40","797.40","-","-16.00","-1.97","1,31,31,038","1,049.76","912.00","680.00","4.54","-1.73"
"HEROMOTOCO","3,960.00","3,994.10","3,839.90","3,954.50","3,876.00","-","-78.50","-1.99","6,52,719","254.69","6,246.25","3,344.00","6.84","-13.40"
"APOLLOTYRE","472.40","474.35","455.45","470.45","461.00","-","-9.45","-2.01","15,20,153","70.38","584.90","370.90","7.40","-7.59"
"PIIND","3,670.00","3,692.40","3,520.00","3,658.40","3,585.00","-","-73.40","-2.01","1,10,845","39.78","4,804.05","2,951.10","4.55","-4.58"
"AADHARHFC","468.35","474.95","448.00","468.35","458.90","-","-9.45","-2.02","5,10,290","23.48","516.80","292.00","13.27","-"
"GILLETTE","8,282.00","8,335.00","8,045.00","8,304.50","8,135.00","-","-169.50","-2.04","17,818","14.54","10,699.00","6,191.00","3.23","31.57"
"MARUTI","11,902.00","12,046.00","11,598.00","11,894.00","11,650.00","-","-244.00","-2.05","9,06,266","1,066.46","13,680.00","10,725.00","-0.31","-9.48"
"VIJAYA","1,068.00","1,081.60","1,022.00","1,061.80","1,040.00","-","-21.80","-2.05","4,02,988","41.91","1,275.00","654.55","3.34","50.19"
"KAJARIACER","814.10","824.00","792.10","817.20","800.45","-","-16.75","-2.05","3,81,320","30.56","1,578.70","758.70","-10.16","-34.05"
"BLUEDART","6,534.00","6,534.00","6,318.50","6,534.00","6,400.00","-","-134.00","-2.05","8,411","5.38","9,488.70","5,365.00","0.81","1.53"
"OFSS","8,820.00","8,865.00","8,460.00","8,765.50","8,582.00","-","-183.50","-2.09","2,79,186","241.38","13,220.00","7,022.55","9.06","20.45"
"TATAINVEST","6,292.00","6,292.00","6,055.00","6,258.50","6,128.00","-","-130.50","-2.09","35,630","21.84","8,074.25","5,145.15","-2.15","-"
"UCOBANK","31.10","31.10","29.78","31.00","30.35","-","-0.65","-2.10","1,52,85,336","46.24","62.35","26.81","-15.37","-46.39"
"LINDEINDIA","6,567.50","6,567.50","6,335.00","6,506.50","6,370.00","-","-136.50","-2.10","47,512","30.44","9,935.05","5,242.40","4.23","-23.68"
"TATASTEEL","142.00","143.45","138.02","141.52","138.54","-","-2.98","-2.11","3,77,64,696","528.55","184.60","122.62","-10.89","-17.20"
"MOTHERSON","135.57","136.61","132.03","136.19","133.32","-","-2.87","-2.11","2,54,85,740","340.74","216.99","107.25","-0.90","5.12"
"TATAMOTORS","668.35","673.00","651.50","668.35","654.15","-","-14.20","-2.12","1,32,07,043","870.03","1,179.00","535.75","-7.48","-34.56"
"NTPC","363.20","365.80","351.10","363.20","355.50","-","-7.70","-2.12","97,85,640","348.81","448.45","292.80","0.51","-0.77"
"BHARATFORG","1,105.60","1,115.70","1,080.80","1,106.50","1,082.90","-","-23.60","-2.13","13,92,564","152.46","1,804.50","919.10","-7.98","-17.03"
"UBL","2,195.00","2,195.00","2,110.30","2,176.60","2,129.90","-","-46.70","-2.15","98,621","21.02","2,299.70","1,810.00","10.00","5.04"
"JINDALSTEL","912.00","919.00","876.05","908.00","888.35","-","-19.65","-2.16","12,53,219","111.95","1,097.00","723.35","-0.89","-5.35"
